game_id,drive_id,offense,defense,drive_number,start_field_position,plays,yards,points,result,turnover,touchdown,field_goal,punt,success_rate,ppa,explosiveness
401532630,40153263012,Nevada,Wyoming,8,22.0,3,-5.0,7,TD,0,1,0,0,0.0,-0.5217907833900459,0.9
401532630,40153263014,Wyoming,Nevada,9,35.0,5,21.0,0,PUNT,0,0,0,1,0.0,-0.17417952290475705,0.9
401532630,40153263015,Wyoming,Nevada,10,43.0,4,7.0,0,PUNT,0,0,0,1,0.25,-0.5471475483217038,0.391648506498802
401532630,40153263016,Nevada,Wyoming,11,20.0,11,98.0,3,FG,0,0,1,0,0.2727272727272727,-0.018495100299881974,1.7808063661296918
401532630,40153263018,Nevada,Wyoming,12,35.0,7,88.0,0,PUNT,0,0,0,1,0.2857142857142857,-0.07205880421070478,0.7933422222628921
401532630,40153263019,Nevada,Wyoming,13,10.0,3,0.0,0,OTHER,0,0,0,0,0.0,-0.19122691822054083,0.9
401532630,4015326302,Nevada,Wyoming,1,35.0,9,85.0,0,PUNT,0,0,0,1,0.3333333333333333,-0.04801277345178941,1.217297437384152
401532630,40153263021,Wyoming,Nevada,14,75.0,6,46.0,7,TD,0,1,0,0,0.5,0.5400168724532115,1.3977466729412296
401532630,40153263023,Wyoming,Nevada,15,35.0,7,19.0,0,OTHER,0,0,0,0,0.42857142857142855,-0.15370748004644644,0.639143304673141
401532630,40153263024,Wyoming,Nevada,16,56.0,6,44.0,7,TD,0,1,0,0,0.6666666666666666,0.4263635216433161,0.7133017161607444
401532630,40153263026,Wyoming,Nevada,17,35.0,9,57.0,0,OTHER,0,0,0,0,0.3333333333333333,-0.11528061003483481,1.4002740129935198
401532630,40153263027,Wyoming,Nevada,18,18.0,13,82.0,7,TD,0,1,0,0,0.46153846153846156,0.5406915207744043,1.60877997259373
401532630,40153263029,Wyoming,Nevada,19,35.0,11,31.0,0,PUNT,0,0,0,1,0.2727272727272727,-0.14222678939143643,1.4751804841932452
401532630,4015326303,Nevada,Wyoming,2,10.0,7,15.0,0,PUNT,0,0,0,1,0.2857142857142857,-0.17599602528617084,0.4777548575899804
401532630,40153263030,Wyoming,Nevada,20,15.0,15,66.0,0,OTHER,0,0,0,0,0.6666666666666666,0.22323409202022826,0.5139375022227786
401532630,4015326304,Wyoming,Nevada,3,37.0,4,63.0,7,TD,0,1,0,0,0.75,1.2626276983944376,1.9689919760424133
401532630,4015326306,Wyoming,Nevada,4,35.0,5,13.0,0,PUNT,0,0,0,1,0.0,-0.40968571642638185,0.9
401532630,4015326307,Wyoming,Nevada,5,45.0,3,55.0,7,TD,0,1,0,0,1.0,1.4255377457721217,1.4255377457721217
401532630,4015326309,Wyoming,Nevada,6,35.0,13,83.0,3,FG,0,0,1,0,0.3076923076923077,0.035460816311371574,0.9983705351287363
401539475,4015394751,Oregon,Washington,1,35.0,17,92.0,3,FG,0,0,1,0,0.47058823529411764,0.08128420175680662,0.7804223896340825
401539475,40153947510,Washington,Oregon,10,35.0,9,75.0,7,TD,0,1,0,0,0.4444444444444444,0.7694157081466958,1.7547478419550773
401539475,40153947511,Oregon,Washington,11,35.0,3,-1.0,0,OTHER,0,0,0,0,0.0,-0.8014893508157099,0.9
401539475,40153947512,Washington,Oregon,12,35.0,16,75.0,7,TD,0,1,0,0,0.4375,0.4051836746480881,1.6343358509257067
401539475,40153947513,Oregon,Washington,13,35.0,7,18.0,3,TO,1,0,0,0,0.2857142857142857,-5.344100293052101e-05,1.0872649023763836
401539475,40153947514,Oregon,Washington,14,41.0,2,6.0,0,TO,1,0,0,0,0.0,-1.1704938251007864,0.9
401539475,40153947515,Washington,Oregon,15,41.0,7,21.0,0,OTHER,0,0,0,0,0.14285714285714285,-0.7206259648159715,0.0842342371864327
401539475,40153947516,Oregon,Washington,16,38.0,4,62.0,7,TD,0,1,0,0,0.75,1.4410238666291846,1.4410238666291846
401539475,40153947517,Oregon,Washington,17,35.0,12,75.0,3,TD,0,1,0,0,0.5833333333333334,0.6077755119721322,1.0568720776023923
