team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color,current_week
Army,2026,2,Week 2,1553.2611891911174,1542.792987432669,10.468201758448458,49,54,5,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/349.png,#000000,2
San Diego State,2026,2,Week 2,1552.8874805307128,1543.0899933025844,9.797487228128375,50,53,3,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/21.png,#a6192e,2
UTSA,2026,2,Week 2,1548.55270146998,1537.41891509091,11.133786379069988,51,57,6,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2636.png,#0c2340,2
Wake Forest,2026,2,Week 2,1548.2443996568095,1525.52785010064,22.71654955616941,52,65,13,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/154.png,#ceb888,2
TCU,2026,2,Week 2,1546.7519798112687,1581.8805200012553,-35.12854018998655,53,29,-24,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2628.png,#4d1979,2
Nebraska,2026,2,Week 2,1546.367843230008,1495.8941917944223,50.47365143558568,54,75,21,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/158.png,#d00000,2
Minnesota,2026,2,Week 2,1544.2209567406258,1533.4770148331802,10.74394190744556,55,61,6,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/135.png,#7a0019,2
Clemson,2026,2,Week 2,1528.292030377164,1578.3657784609882,-50.07374808382406,56,33,-23,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/228.png,#f56600,2
Cincinnati,2026,2,Week 2,1527.9312666571054,1502.998214160402,24.93305249670334,57,71,14,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2132.png,#000000,2
East Carolina,2026,2,Week 2,1527.6523959313508,1560.4163023310432,-32.76390639969236,58,42,-16,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/151.png,#592a8a,2
South Carolina,2026,2,Week 2,1526.9127993667614,1494.320358212371,32.59244115439037,59,77,18,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2579.png,#73000a,2
