game_id,season,week,start_date,home_team,away_team,home_points,away_points,drive_containers,offense_team_count,defense_team_count,pbp_offense_teams,pbp_defense_teams,min_period,max_period,min_team_drives,max_team_drives,one_play_drives,one_play_share,other_drives,other_share,fragmented,incomplete,extreme_possessions,bad_offense_count,bad_defense_count,offense_team_mismatch,defense_team_mismatch,bad_team_structure,quarantine,quarantine_reason
401757265,2025,4,2025-09-20 23:00:00+00:00,Missouri State,UT Martin,42.0,10.0,22,2,2,Missouri State | UT Martin,Missouri State | UT Martin,1,4,11,11,2,0.0909090909090909,2,0.0909090909090909,False,False,False,False,False,False,False,False,False,HEALTHY
401757267,2025,4,2025-09-21 01:00:00+00:00,UTEP,UL Monroe,25.0,31.0,27,2,2,UL Monroe | UTEP,UL Monroe | UTEP,1,4,13,14,3,0.1111111111111111,4,0.1481481481481481,False,False,False,False,False,False,False,False,False,HEALTHY
401757268,2025,4,2025-09-20 23:00:00+00:00,Western Kentucky,Nevada,31.0,16.0,23,2,2,Nevada | Western Kentucky,Nevada | Western Kentucky,1,4,11,12,1,0.0434782608695652,1,0.0434782608695652,False,False,False,False,False,False,False,False,False,HEALTHY
401757269,2025,5,2025-09-27 23:00:00+00:00,Southern Miss,Jacksonville State,42.0,25.0,27,2,2,Jacksonville State | Southern Miss,Jacksonville State | Southern Miss,1,4,13,14,4,0.1481481481481481,4,0.1481481481481481,False,False,False,False,False,False,False,False,False,HEALTHY
401757270,2025,5,2025-09-27 22:00:00+00:00,Kennesaw State,Middle Tennessee,24.0,16.0,23,2,2,Kennesaw State | Middle Tennessee,Kennesaw State | Middle Tennessee,1,4,11,12,2,0.0869565217391304,3,0.1304347826086956,False,False,False,False,False,False,False,False,False,HEALTHY
401757271,2025,5,2025-09-27 22:00:00+00:00,Old Dominion,Liberty,21.0,7.0,26,2,2,Liberty | Old Dominion,Liberty | Old Dominion,1,4,13,13,4,0.1538461538461538,2,0.0769230769230769,False,False,False,False,False,False,False,False,False,HEALTHY
401757272,2025,5,2025-09-28 01:00:00+00:00,UTEP,Louisiana Tech,11.0,30.0,29,2,2,Louisiana Tech | UTEP,Louisiana Tech | UTEP,1,4,13,16,3,0.1034482758620689,5,0.1724137931034483,False,False,False,False,False,False,False,False,False,HEALTHY
401757273,2025,5,2025-09-27 23:00:00+00:00,Missouri State,Western Kentucky,22.0,27.0,24,2,2,Missouri State | Western Kentucky,Missouri State | Western Kentucky,1,4,12,12,0,0.0,2,0.0833333333333333,False,False,False,False,False,False,False,False,False,HEALTHY
401757274,2025,5,2025-09-27 20:00:00+00:00,New Mexico,New Mexico State,38.0,20.0,25,2,2,New Mexico | New Mexico State,New Mexico | New Mexico State,1,4,12,13,1,0.04,3,0.12,False,False,False,False,False,False,False,False,False,HEALTHY
401757275,2025,6,2025-10-03 01:00:00+00:00,New Mexico State,Sam Houston,37.0,10.0,18,2,2,New Mexico State | Sam Houston,New Mexico State | Sam Houston,1,4,9,9,1,0.0555555555555555,1,0.0555555555555555,False,False,False,False,False,False,False,False,False,HEALTHY
401757276,2025,6,2025-10-03 23:00:00+00:00,Delaware,Western Kentucky,24.0,27.0,18,2,2,Delaware | Western Kentucky,Delaware | Western Kentucky,1,4,8,10,0,0.0,2,0.1111111111111111,False,False,False,False,False,False,False,False,False,HEALTHY
401757277,2025,7,2025-10-09 00:00:00+00:00,UTEP,Liberty,8.0,19.0,20,2,2,Liberty | UTEP,Liberty | UTEP,1,4,8,12,1,0.05,2,0.1,False,False,False,False,False,False,False,False,False,HEALTHY
401757278,2025,7,2025-10-08 23:30:00+00:00,Middle Tennessee,Missouri State,20.0,22.0,21,2,2,Middle Tennessee | Missouri State,Middle Tennessee | Missouri State,1,4,10,11,0,0.0,4,0.1904761904761904,False,False,False,False,False,False,False,False,False,HEALTHY
401757279,2025,7,2025-10-10 00:00:00+00:00,Sam Houston,Jacksonville State,27.0,29.0,25,2,2,Jacksonville State | Sam Houston,Jacksonville State | Sam Houston,1,4,12,13,2,0.08,1,0.04,False,False,False,False,False,False,False,False,False,HEALTHY
401757280,2025,7,2025-10-09 23:00:00+00:00,Kennesaw State,Louisiana Tech,35.0,7.0,23,2,2,Kennesaw State | Louisiana Tech,Kennesaw State | Louisiana Tech,1,4,11,12,2,0.0869565217391304,2,0.0869565217391304,False,False,False,False,False,False,False,False,False,HEALTHY
401757281,2025,8,2025-10-15 00:00:00+00:00,Western Kentucky,Florida International,6.0,25.0,21,2,2,Florida International | Western Kentucky,Florida International | Western Kentucky,1,4,10,11,0,0.0,1,0.0476190476190476,False,False,False,False,False,False,False,False,False,HEALTHY
401757282,2025,8,2025-10-14 23:00:00+00:00,Liberty,New Mexico State,30.0,27.0,23,2,2,Liberty | New Mexico State,Liberty | New Mexico State,1,4,11,12,2,0.0869565217391304,8,0.3478260869565217,False,False,False,False,False,False,False,False,False,HEALTHY
401757283,2025,8,2025-10-15 23:00:00+00:00,Jacksonville State,Delaware,38.0,25.0,27,2,2,Delaware | Jacksonville State,Delaware | Jacksonville State,1,4,13,14,2,0.074074074074074,4,0.1481481481481481,False,False,False,False,False,False,False,False,False,HEALTHY
401757284,2025,8,2025-10-15 23:00:00+00:00,Sam Houston,UTEP,17.0,35.0,26,2,2,Sam Houston | UTEP,Sam Houston | UTEP,1,4,13,13,3,0.1153846153846153,10,0.3846153846153846,False,False,False,False,False,False,False,False,False,HEALTHY
401757285,2025,9,2025-10-21 23:00:00+00:00,Florida International,Kennesaw State,26.0,45.0,25,2,2,Florida International | Kennesaw State,Florida International | Kennesaw State,1,4,12,13,2,0.08,12,0.48,False,False,False,False,False,False,False,False,False,HEALTHY
401757286,2025,9,2025-10-21 23:30:00+00:00,Louisiana Tech,Western Kentucky,27.0,28.0,23,2,2,Louisiana Tech | Western Kentucky,Louisiana Tech | Western Kentucky,1,5,11,12,1,0.0434782608695652,7,0.3043478260869565,False,False,False,False,False,False,False,False,False,HEALTHY
401757287,2025,9,2025-10-22 23:30:00+00:00,Delaware,Middle Tennessee,31.0,28.0,27,2,2,Delaware | Middle Tennessee,Delaware | Middle Tennessee,1,4,13,14,3,0.1111111111111111,5,0.1851851851851851,False,False,False,False,False,False,False,False,False,HEALTHY
401757288,2025,9,2025-10-23 01:00:00+00:00,New Mexico State,Missouri State,17.0,24.0,27,2,2,Missouri State | New Mexico State,Missouri State | New Mexico State,1,5,13,14,2,0.074074074074074,7,0.2592592592592592,False,False,False,False,False,False,False,False,False,HEALTHY
401757289,2025,10,2025-10-29 00:00:00+00:00,Kennesaw State,UTEP,33.0,20.0,27,2,2,Kennesaw State | UTEP,Kennesaw State | UTEP,1,4,12,15,3,0.1111111111111111,12,0.4444444444444444,False,False,False,False,False,False,False,False,False,HEALTHY
401757290,2025,10,2025-11-01 00:00:00+00:00,Louisiana Tech,Sam Houston,55.0,14.0,23,2,2,Louisiana Tech | Sam Houston,Louisiana Tech | Sam Houston,1,4,11,12,2,0.0869565217391304,3,0.1304347826086956,False,False,False,False,False,False,False,False,False,HEALTHY
401757291,2025,10,2025-10-30 00:00:00+00:00,Missouri State,Florida International,28.0,21.0,26,2,2,Florida International | Missouri State,Florida International | Missouri State,1,4,12,14,1,0.0384615384615384,12,0.4615384615384615,False,False,False,False,False,False,False,False,False,HEALTHY
401757292,2025,10,2025-10-29 23:30:00+00:00,Middle Tennessee,Jacksonville State,21.0,24.0,18,2,2,Jacksonville State | Middle Tennessee,Jacksonville State | Middle Tennessee,1,4,9,9,0,0.0,4,0.2222222222222222,False,False,False,False,False,False,False,False,False,HEALTHY
401757293,2025,10,2025-11-01 19:30:00+00:00,Liberty,Delaware,59.0,30.0,24,2,2,Delaware | Liberty,Delaware | Liberty,1,4,12,12,0,0.0,1,0.0416666666666666,False,False,False,False,False,False,False,False,False,HEALTHY
401757294,2025,10,2025-11-01 19:30:00+00:00,Western Kentucky,New Mexico State,35.0,16.0,29,2,2,New Mexico State | Western Kentucky,New Mexico State | Western Kentucky,1,4,14,15,2,0.0689655172413793,5,0.1724137931034483,False,False,False,False,False,False,False,False,False,HEALTHY
