game_id,season,week,elo_difference,rating_difference,state_maturity,side,team,opponent,actual_points,actual_40_plus,actual_10_or_less,expected_points,prob_40_plus,prob_10_or_less,expected_drives,ppd,td_rate,fg_rate,turnover_rate,success_rate,ppa,explosive_rate,yards_per_drive,matchup_ratio
401327913,2021,1,62.88896302034732,3.122449642589117,0.0,home,Nebraska,Fordham,52.0,1.0,0.0,28.081,0.141,0.062,11.566,2.215277303744649,0.2928538828237456,0.1143678276439663,0.1003150146833563,0.4311332563977506,0.1079638710079905,0.1072893037698614,35.46011016534783,1.0028002109805696
401327913,2021,1,62.88896302034732,3.122449642589117,0.0,away,Fordham,Nebraska,7.0,0.0,1.0,26.721,0.122,0.077,11.572,2.1688240836113524,0.2879309030710918,0.100399203184089,0.1153335258699038,0.4135387260249233,-0.0113728899453218,0.091199131185774,33.16355319805388,0.972361324165917
401281943,2021,1,75.0,0.0,0.0,home,Arkansas,Rice,38.0,0.0,0.0,28.544,0.16,0.059,11.503,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281943,2021,1,75.0,0.0,0.0,away,Rice,Arkansas,17.0,0.0,0.0,28.277,0.156,0.056,11.526,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309838,2021,1,55.15690631878556,-26.18952631501881,0.0,home,Oregon,Fresno State,31.0,0.0,0.0,20.587,0.041,0.2,11.934,1.7084099352171829,0.2255884602724883,0.100399203184089,0.119221190373898,0.3770577547957745,-0.0964839680962493,0.0789342251599863,28.579157400600483,0.8236090318867804
401309838,2021,1,55.15690631878556,-26.18952631501881,0.0,away,Fresno State,Oregon,24.0,0.0,0.0,31.267,0.24,0.037,11.922,2.3732820638427805,0.316464176136962,0.1124785693873662,0.1109162942073151,0.4404851478714531,0.2016096013304806,0.11688773605037,36.8313707220314,1.0477269365727937
401310861,2021,1,75.0,0.0,0.0,home,Air Force,Lafayette,35.0,0.0,0.0,28.194,0.158,0.066,11.499,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310861,2021,1,75.0,0.0,0.0,away,Lafayette,Air Force,14.0,0.0,0.0,28.02,0.147,0.057,11.498,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281942,2021,1,0.0,0.0,0.0,home,Miami,Alabama,13.0,0.0,0.0,28.239,0.157,0.053,11.498,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281942,2021,1,0.0,0.0,0.0,away,Alabama,Miami,44.0,1.0,0.0,28.241,0.167,0.055,11.504,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282174,2021,1,75.0,0.0,0.0,home,Navy,Marshall,7.0,0.0,1.0,28.435,0.163,0.066,11.494,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282174,2021,1,75.0,0.0,0.0,away,Marshall,Navy,49.0,1.0,0.0,27.991,0.149,0.057,11.465,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282723,2021,1,75.0,0.0,0.0,home,Iowa,Indiana,34.0,0.0,0.0,27.641,0.14,0.066,11.5,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282723,2021,1,75.0,0.0,0.0,away,Indiana,Iowa,6.0,0.0,1.0,28.196,0.167,0.066,11.534,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282764,2021,1,75.0,0.0,0.0,home,Maryland,West Virginia,30.0,0.0,0.0,27.465,0.142,0.061,11.454,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282764,2021,1,75.0,0.0,0.0,away,West Virginia,Maryland,24.0,0.0,0.0,27.577,0.157,0.075,11.518,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401300996,2021,1,75.0,0.0,0.0,home,Cincinnati,Miami (OH),49.0,1.0,0.0,27.373,0.134,0.061,11.499,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401300996,2021,1,75.0,0.0,0.0,away,Miami (OH),Cincinnati,14.0,0.0,0.0,28.479,0.168,0.057,11.523,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281949,2021,1,75.0,0.0,0.0,home,Mississippi State,Louisiana Tech,35.0,0.0,0.0,27.423,0.157,0.074,11.54,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281949,2021,1,75.0,0.0,0.0,away,Louisiana Tech,Mississippi State,34.0,0.0,0.0,28.134,0.154,0.061,11.479,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281950,2021,1,75.0,0.0,0.0,home,Missouri,Central Michigan,34.0,0.0,0.0,27.387,0.138,0.071,11.526,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281950,2021,1,75.0,0.0,0.0,away,Central Michigan,Missouri,24.0,0.0,0.0,27.496,0.131,0.067,11.526,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
